opDate,Unnamed: 0,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye
2011-11-21,0,376067330,14861368697,5985120,11391775,187302867,15048671564
2011-11-22,0,407395186,14831573441,5666467,11940990,193074863,15024648304
2011-11-23,0,343976459,14759468434,5753028,12519323,203287973,14962756407
2011-11-24,0,459282461,14825588906,6862727,13560769,219023551,15044612457
2011-11-25,0,356190553,14807127239,4683676,13225462,219342926,15026470165
2011-11-28,0,324155537,14715679759,5357705,13269067,223925023,14939604782
2011-11-29,0,437426694,14720215852,5621438,13636283,226615601,14946831453
2011-11-30,0,551745964,14713374663,8065157,14400414,222298313,14935672976
2011-12-01,0,815953384,14746957737,12833795,15166254,226581264,14973539001
2011-12-02,0,447592201,14825143259,8467319,14309399,214162648,15039305907
2011-12-05,0,412684042,14689465254,8867969,14278059,228951168,14918416422
